brand,type,sulfate,dmdmhydantoin,ml,pack,cost,discmult,mlCost,urla,urlb
smith england,moisture remedy,n,n,250,1,5,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/smith-england-nourish-moisture-remedy-shampoo-250ml-7952118-p,
moroccanoil,moisture repair,n,n,250,1,17.85,1,0.0714,https://www.feelunique.com/p/Moroccanoil-Moisture-Repair-Shampoo-250ml,https://www.amazon.co.uk/dp/B002N5MKLW
tresemme,moisture rich,y,y,,,,1,,,
tresemme,moisture rich,y,y,,,,1,,,
tresemme,moisture rich,y,n,,,,1,,,
charles worthington,moisture seal,y,?,,,,1,,,
herbal essences,moisturise,n,n,350,1,6,1,0,https://groceries.asda.com/product/1000383210147,
keia,moisturising argan oil,y,?,,,,1,,,
hask,monoi coconut oil,n,n,355,1,7,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/hask-monoi-coconut-oil-nourishing-shampoo-355ml,
vatika multivitamin,moroccan argan,y,?,,,,1,,,
lonstin,moroccan argan oil,n,n,500,1,13.99,1,0.02798,https://www.amazon.co.uk/dp/B08M19BCQN,
herbal essences,moroccan shine,y,n,,,,1,,,
infuse,my colour copper,n,n,250,1,13.95,1,0.0558,https://www.amazon.co.uk/dp/B06XR854VV,
living proof,no frizz,n,n,236,1,18.29,1,0.0775,https://www.amazon.co.uk/dp/B002IJKW54,
fanola,no orange,y,?,,,,1,,,
fanola,no yellow,y,n,,,,1,,,
davines,nounou,n,n,250,1,16.9,1,0.0676,https://www.amazon.co.uk/dp/B00OKQ0F4Q,
v05,nourish,y,y,,,,1,,,
vita coco,nourish,y,?,,,,1,,,
rhyme & reason,nourish & gloss,n,n,385,1,6,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/rhyme-reason-nourish-gloss-shampoo-385ml,
maui moisture,nourish & moisture,n,n,385,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/299250332,
maui moisture,nourish & moisture,n,n,385,1,9,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/maui-moisture-nourish-moisture-coconut-milk-shampoo-385ml,
my hair matters,nourish & repair,y,n,,,,1,,,
herbal essences bio:renew,nourish passion flower,y,?,,,,1,,,
l'oreal paris elvive,nourishing,y,n,,,,1,,,
dove,nourishing oil light,y,n,,,,1,,,
l'oreal paris elvive,nutri gloss,y,?,,,,1,,,
l'oreal paris elvive,nutri gloss shine,y,?,,,,1,,,
dove,nutritive coconut,?,y,,,,1,,,
suave,ocean,?,y,,,,1,,,
argan,oil,y,n,,,,1,,,
l'oreal paris elvive extraordinary,oil,y,n,,,,1,,,
head & shoulders deep cleanse,oil control,y,?,,,,1,,,
palmers,olive oil,n,n,400,1,4.5,1,0.01125,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/palmers-olive-oil-shine-therapy-shampoo-400ml,
morrisons,orchard apple,y,?,,,,1,,,
childs farm,organic fig,y,?,,,,1,,,
dr.organic,organic manuka,n,n,265,1,8,1,0,https://www.amazon.co.uk/dp/B00HPFU5CQ,
bulldog,original,n,n,300,1,3.5,1,0.0116666666666667,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/bulldog-skincare-original-shampoo-300ml,
dove,oxygen,?,y,,,,1,,,
axe,phoenix,?,y,,,,1,,,
crazy colour,pink,n,n,250,1,8.99,1,0.03596,https://www.amazon.co.uk/dp/B0CXJFD2BN,
dr wolff,plantur 39,y,n,,,,1,,,
ogx,pomegranate,?,y,,,,1,,,
creightons,pro keratin,y,?,,,,1,,,
tresemme,protect,?,y,,,,1,,,
timotei,pure,y,?,,,,1,,,
knight & wilson,pureplex,n,n,200,1,5.29,1,0.02645,https://www.savers.co.uk/p/795379,
herbal essences bio:renew,purify & hydrate,y,?,,,,1,,,
pantene pro-v miracles,purple,y,?,,,,1,,,
ogx,purple toning,y,n,,,,1,,https://www.amazon.co.uk/dp/B092WC8RHC,
rhyme & reason,quench & curl,n,n,385,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/309748178,
head & shoulders dermaxpro,quenching hydration,y,?,,,,1,,,
green people,quinoa & artichoke,y,n,,,,1,,,
tresemme pro pure,radiant colour,n,n,380,1,4.5,1,0.0118421052631579,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/tresemme-radiant-colour-shampoo-380-ml,https://www.tesco.com/groceries/en-GB/products/309182466
alberto balsam,raspberry,y,n,,,,1,,,
bedhead,re-energise,y,y,,,,1,,,
asda,really wild,y,?,,,,1,,,
bedhead,recovery,?,y,,,,1,,,
kerastase paris,reflection bain,y,n,,,,1,,,
virtue,refresh,n,n,7,1,2.24,1,0.32,https://www.ebay.co.uk/itm/233579905124,
virtue,refresh,n,n,120,1,26,1,0,https://www.spacenk.com/uk/haircare/shampoo/shampoos/refresh-purifying-shampoo-MUK200023398.html,
vatika multivitamin,refreshing lemon,y,?,,,,1,,,
head & shoulders supreme,repair,y,?,,,,1,,,
herbal essences bio:renew,repair,y,?,,,,1,,,
Monday,repair,n,n,350,1,5,1,0,https://groceries.asda.com/product/1000383189515,
nature box,repair,y,?,,,,1,,,
tresemme,repair,?,y,,,,1,,,
pantene pro-v,repair & protect,y,n,,,,1,,,
rhyme & reason,repair & restore,n,n,385,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/309454174,
rhyme & reason,repair & restore,n,n,385,1,6,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/rhyme-reason-repair-restore-shampoo-385ml,
keia,repairing orchid extract,y,?,,,,1,,,
l'oreal paris elvive full,resist,y,?,,,,1,,,
kerastase paris,resistance,y,?,,,,1,,,
l'oreal paris elvive full,restore,y,n,,,,1,,,
bedhead,resurrection,y,y,,,,1,,,
aussie,reusable,y,?,,,,1,,,
pantene pro-v hair biology,revitalise & soothe,y,?,,,,1,,,
mason & miller,revitalising,y,n,,,,1,,,
sunbum,revitalizing,?,y,,,,1,,,
maui moisture,revive & hydrate,n,n,385,1,9,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/maui-moisture-revive-hydrate-shea-butter-shampoo-385ml,
maui moisture,revive & hydrate,n,n,385,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/299250430,
kerastase paris specifique bain,riche,y,?,,,,1,,,
dove,rituals coconut,?,y,,,,1,,,
suave,rosemary,?,y,,,,1,,,
aveeno,rosewater & chamomile,n,n,354,1,9,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/aveeno-gentle-moisture-rose-water-chamomile-blend-shampoo-354ml,
aveeno,rosewater & chamomile,n,n,300,1,6,0.95,0.019,https://www.amazon.co.uk/dp/B0BQTLL5XJ,
kerastase paris nutritive bain,satin 1,y,?,,,,1,,,
kerastase paris nutritive bain,satin 2,y,?,,,,1,,,
aussie sos,save my lengths,y,?,,,,1,,,
vita coco,scalp,y,?,,,,1,,,
lisa's hair elixir,scalp & hair,?,y,,,,1,,,
head & shoulders deep cleanse,scalp detox,y,?,,,,1,,,
redken,scalp relief,y,?,,,,1,,,
tesco anti-dandruff,sensitive,y,n,,,,1,,,
sainsburys,sensitive baby,y,n,,,,1,,,
bedhead,serial blonde,y,?,,,,1,,,
cantu,shea butter,n,n,400,2,10.75,1,0.0134375,https://groceries.asda.com/product/1000101790298,
cantu,shea butter,n,n,400,1,6,1,0,https://www.amazon.co.uk/dp/B00NQA1B0E,
cantu,shea butter,n,n,709,1,9.99,1,0.0140902679830748,https://www.savers.co.uk/p/789400,
john frieda,shimmering silver,y,?,,,,1,,,
herbal essences daily detox,shine,y,?,,,,1,,,
maui moisture,shine & awipuhi,n,n,385,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/309452441,
aussie,shine miracle,y,?,,,,1,,,
charles worthington,shine plex,y,?,,,,1,,,
herbal essences bio:renew,shine white grapefruit,y,?,,,,1,,,
v05,silky,?,y,,,,1,,,
pantene pro-v miracles,silky & glowing,y,?,,,,1,,,
l'oreal professionnel,silver,y,n,,,,1,,,
xhc,silver,y,?,,,,1,,,
pantene pro-v hair biology,silver & glowing,y,?,,,,1,,,
milk_shake,silver shine,y,n,,,,1,,,
Monday,smooth,n,n,350,1,5,1,0,https://www.tesco.com/groceries/en-GB/products/309777650,https://groceries.asda.com/product/1000383119452
good gracious,smooth & hydrate,y,?,,,,1,,,
maui moisture,smooth & revive,n,n,385,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/305252868,
my hair matters,smooth & shine,y,n,,,,1,,,
head & shoulders,smooth & silky,y,?,,,,1,,,
tresemme,smooth & silky,y,n,,,,1,,,
tresemme,smooth & silky,y,n,,,,1,,,
pantene pro-v,smooth & sleek,y,n,,,,1,,,
pantene pro-v,smooth & sleek 3 in 1,y,?,,,,1,,,
shea moisture,smooth & tame,n,n,384,1,10.99,1,0.0286197916666667,https://www.amazon.co.uk/dp/B07XWVWZZQ,
fred & flo,soft & gentle,y,n,,,,1,,,
keia,softening coconut oil,y,?,,,,1,,,
head & shoulders dermaxpro,soothe,y,?,,,,1,,,
sunbum,spray,?,y,,,,1,,,
radox,start fresh,y,n,,,,1,,,
xhc,strawberry,n,y,,,,1,,,
maui moisture,strength & anti break,n,n,385,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/299250499,
pureology,strength cure,n,n,266,1,12.82,1,0.0481954887218045,https://www.amazon.co.uk/dp/B0891843GD,
pureology,strength cure,n,n,266,1,19.95,1,0.075,https://www.lookfantastic.com/12594153.html,
happy naturals,strengthen & repair,n,n,300,1,6,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/happy-naturals-strengthen-repair-shampoo-300ml,
alberto balsam,sunkissed raspberry,y,n,,,,1,,,
alberto balsam,sunkissed raspberry,y,n,,,,1,,,
creightons,sunshine blonde silver,y,?,,,,1,,,
pantene pro-v,superfood,y,n,,,,1,,,
alberto balsam,sweet strawberry,y,?,,,,1,,,
alberto balsam,tea tree,y,n,,,,1,,,
ogx,tea tree,n,n,385,1,5.66,1,0.0147012987012987,https://www.amazon.co.uk/dp/B07THWDMVR,
sainsburys,tea tree 2 in 1,y,n,,,,1,,,
Australian Bodycare,tea tree oil,y,n,,,,1,,,
alberto balsam,tea tree tingle,y,n,,,,1,,,
the hair boss,the balayage,y,?,,,,1,,,
the hair boss,the overworked,y,?,,,,1,,,
the hair boss,the virgin,y,?,,,,1,,,
maui moisture,thicken & restore,n,n,385,1,6,1,0,https://www.amazon.co.uk/dp/B07CTRS32K,
maui moisture,thicken & restore,n,n,385,1,9,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/maui-moisture-thicken-restore-bamboo-fibers-shampoo-385ml,
dove,thickening,?,y,,,,1,,,
molton brown,thickening ginger,y,n,,,,1,,,
charles worthington,thicker & fuller,y,?,,,,1,,,
noughty,to the rescue,n,n,250,1,8,1,0,https://www.tesco.com/groceries/en-GB/products/311806430,
noughty,to the rescue,n,n,250,1,7,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/noughty-to-the-rescue-moisture-boost-shampoo-250ml,
charles worthington colour plex,toning ultra violet,n,n,250,1,8,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/charles-worthington-colour-plex-ni-ng-ultra-violet-shampoo-250ml,
charles worthington colour plex,toning violet,n,n,250,1,7,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/charles-worthington-london-colour-plex-toning-violet-shampoo-250ml,
phil smith,total treat,y,?,,,,1,,,
asda,totally coconuts,y,?,,,,1,,,
pro:voke,touch of silver,y,n,,,,1,,,
tresemme,touchable,?,y,,,,1,,,
l'oreal paris elvive for men,triple,y,n,,,,1,,,
suave,tropical,?,y,,,,1,,,
l'oreal kids,tropical mango,y,?,,,,1,,,
astonish,tropical oasis,y,?,,,,1,,,
maria nila,true soft,n,n,350,1,17.99,1,0.0514,https://www.amazon.co.uk/dp/B01N8X4SU4,
herbal essences,uplifting volume,y,n,,,,1,,,
l'oreal kids,very berry,y,n,,,,1,,,
tresemme,violet blonde shine,y,n,,,,1,,,
john frieda,violet crush blonde,y,n,,,,1,,,
kerastase paris specifique bain,vital,y,n,,,,1,,,
xhc,vitamin c,y,?,,,,1,,,
l'oreal paris,vitamino color,y,n,,,,1,,,
l'oreal professionnel,vitamino colour,y,?,,,,1,,,
Monday,volume,n,n,350,1,5,1,0,https://www.tesco.com/groceries/en-GB/products/309484593,https://groceries.asda.com/product/1000383119124
Monday,volume,n,n,800,1,18.75,1,0.0234375,https://www.amazon.co.uk/dp/B0BCGCX8SF,
tresemme,volume,y,y,,,,1,,,
pantene pro-v,volume & body,y,?,,,,1,,,
rhyme & reason,volume & boost,n,n,385,1,6,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/rhyme-reason-volume-boost-shampoo-385ml,
love beauty & planet,volume & bounty,y,?,,,,1,,,
Schwarzkopf gliss,volume & repair,y,n,,,,1,,,
my hair matters,volume boost,y,n,,,,1,,,
redken,volume injection,y,?,,,,1,,,
john frieda,volume lift,y,?,,,,1,,,
herbal essences,volume orange scent,n,n,350,1,6,1,0,https://groceries.asda.com/product/1000383210144,
l'oreal professionnel,volumetry,y,?,,,,1,,,
noughty,wave hello,n,n,250,1,7,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/noughty-wave-hello-curl-defining-shampoo-250ml,
noughty,wave hello,n,n,250,1,8,1,0,https://www.tesco.com/groceries/en-GB/products/311786976,
john frieda frizz ease,weightless wonder,y,?,,,,1,,,
morrisons,wild raspberry,y,?,,,,1,,,
phil smith,wow brunnette,y,?,,,,1,,,
fudge professional,xpander,n,n,250,1,13.49,1,0.05396,https://www.amazon.co.uk/dp/B07GXV4HGW,
