brand,type,sulfate,dmdmhydantoin,ml,pack,cost,discmult,mlCost,urla,urlb
herbal essences potent aloe,bamboo,n,n,380,1,6,1,0,https://groceries.asda.com/product/1000194606898,
l'oreal men expert,barberclub,y,?,,,,1,,,
herbal essences,beautiful ends,y,n,,,,1,,,
phil smith,big it up,y,?,,,,1,,,
tresemme,biotin,y,y,,,,1,,,
ogx,biotin & collagen,n,n,577,1,7.48,1,0.0129636048526863,https://www.amazon.co.uk/dp/B09DDRD2PQ,
ogx,biotin & collagen,n,n,385,1,4,0.95,0.00987012987012987,https://www.amazon.co.uk/dp/B00MXZJ362,
ogx,biotin & collagen,n,n,385,1,7,1,0,https://www.tesco.com/groceries/en-GB/products/287318836,
ogx,biotin & collagen,n,n,385,1,5,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/ogx-thick---full--biotin---collagen-shampoo-385ml,
ogx,biotin & collagen,n,n,385,1,7,1,0,https://groceries.asda.com/product/910001804015,
ogx,biotin & collagen,n,n,88,1,4.53,1,0.0514772727272727,https://www.onbuy.com/gb/ogx-thick-and-full-biotin-and-collagen-shampoo-887-ml~c5396~p7356284/,
ogx,biotin & collagen,n,n,577,1,10.99,0.95,0.0180944540727903,https://www.amazon.co.uk/dp/B09DFK6QCX,
hask,biotin boost,n,n,355,1,7,1,0,https://www.tesco.com/groceries/en-GB/products/305252200,
aveeno,blackberry & quinoa,n,n,354,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/309466281,
vatika multivitamin,blackseed,y,?,,,,1,,,
redken extreme,bleach recovery,y,?,,,,1,,,
kerastase paris,blond absolu bain,y,n,,,,1,,,
aussie,blonde hydration,y,?,,,,1,,,
aussie sos,blonde hydration,y,?,,,,1,,,
alberto balsam,blueberry,y,y,,,,1,,,
faith in nature,blueberry,y,n,,,,1,,,
philip kingsley,body building,y,n,,,,1,,,
phil smith,bombshell,y,?,,,,1,,,
Schwarzkopf,bonacure hyaluronic,?,?,,,,1,,,
Schwarzkopf,bonacure ph 4.5,y,n,,,,1,,,
Schwarzkopf,bonacure q10+,y,?,,,,1,,,
phil smith,bond & plex,y,?,,,,1,,,
smith england,boost lasting volume,n,n,250,1,5,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/smith-england-boost-lasting-volume-shampoo-250ml-7952350-p,
head & shoulders dermaxpro,boosting strength,y,?,,,,1,,,
tresemme,botanique,y,n,,,,1,,,
ogx,brazilian keratin,n,y,,,,1,,,
john frieda frizz ease,brazilian sleek,y,?,,,,1,,,
tresemme,breakage,?,y,,,,1,,,
john frieda,brilliant brunette,y,?,,,,1,,,
alpecin,c1,y,n,,,,1,,,
alpecin,c1 black edition,y,n,,,,1,,,
mancave,caffeine,n,n,500,1,8.8,1,0.0176,https://www.amazon.co.uk/dp/B07VHKW614,
mancave,caffeine,n,n,200,1,4.3,1,0.0215,https://www.tesco.com/groceries/en-GB/products/299226765,
revolution,caffeine,n,n,250,1,5.99,1,0.02396,https://www.amazon.co.uk/dp/B09RMS529V,
aussie,calm the frizz,y,?,,,,1,,,
cantu,care for kids,n,n,237,1,4,1,0,https://groceries.asda.com/product/1000198047517,
cantu,care for kids,n,n,237,1,5,1,0,https://www.tesco.com/groceries/en-GB/products/305960963,
alterna,caviar moisture,n,n,250,1,25,1,0,https://www.amazon.co.uk/dp/B001FYV0HM,
aveeno,chamomile,y,n,,,,1,,,
ogx,charcoal detox,n,n,385,1,18.85,1,0.048961038961039,https://www.amazon.co.uk/dp/B07L3FFYM7,
garnier ultimate blends,cherry,y,n,,,,1,,,
tesco anti-dandruff,citrus,y,n,,,,1,,,
head & shoulders,citrus fresh,y,n,,,,1,,,
head & shoulders,citrus fresh 2 in 1,y,n,,,,1,,,
tesco anti-dandruff,classic,y,n,,,,1,,,
head & shoulders,classic clean,y,n,,,,1,,,
pantene pro-v,classic clean,y,n,,,,1,,,
pantene pro-v,classic clean 3 in 1,y,n,,,,1,,,
l'oreal paris elvive extraordinary,clay,y,?,,,,1,,,
herbal essences daily detox,clean,y,?,,,,1,,,
fudge,clean blonde,y,n,,,,1,,,
fudge professional,clean blonde damage,y,n,,,,1,,,
bed head for men,clean up daily,y,n,,,,1,,,
tresemme,cleanse,y,n,,,,1,,,
pantene pro-v hair biology,cleanse & reconstruct,y,?,,,,1,,,
tresemme,cleanse 2 in 1,y,y,,,,1,,,
herbal essences,clearly naked shine,y,?,,,,1,,,
phil smith,cocolicious,y,?,,,,1,,,
inecto,coconut,y,?,,,,1,,,
l'oreal paris elvive,coconut,y,n,,,,1,,,
palmers,coconut,n,n,400,1,4,1,0,https://groceries.asda.com/product/910002335627,
palmers,coconut,n,n,400,3,15.99,1,0.013325,https://www.amazon.co.uk/dp/B01IA9ATTY,
palmers,coconut,n,n,400,4,23.93,1,0.01495625,https://www.amazon.co.uk/dp/B00C0ZZL16,
sainsburys,coconut,y,n,,,,1,,,
alberto balsam,coconut & lychee,y,n,,,,1,,,
alberto balsam,coconut & lychee,y,n,,,,1,,,
morrisons,coconut & lychee,y,?,,,,1,,,
enliven,coconut & vanilla,y,n,,,,1,,,
astonish,coconut bliss,y,?,,,,1,,,
ogx,coconut curls,?,y,,,,1,,,
garnier ultimate blends,coconut milk,y,n,,,,1,,,
herbal essences bio:renew,coconut milk,y,n,,,,1,,,
ogx,coconut milk,n,y,,,,1,,https://www.amazon.co.uk/dp/B000TGEJT8,
ogx,coconut miracle oil,n,n,385,1,5.66,1,0.0147012987012987,https://www.amazon.co.uk/dp/B07B65YFC9,
ogx,coconut miracle oil,n,n,385,1,6,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/ogx-extra-strength-damage-remedy-coconut-miracle-oil-shampoo-385ml,
ogx,coconut miracle oil,n,n,385,1,7,1,0,https://groceries.morrisons.com/products/ogx-damage-remedy-coconut-miracle-oil-shampoo-411038011,
ogx,coconut miracle oil,n,n,385,1,7,1,0,https://groceries.asda.com/product/1000011616651,
garnier ultimate blends,coconut oil,y,n,,,,1,,,
ogx,coconut oil,?,y,,,,1,,,
suave,coconut oil,?,y,,,,1,,,
garnier ultimate blends,coconut water,y,?,,,,1,,,
alpecin,coffein,y,n,,,,1,,,
tresemme,collagen,y,n,,,,1,,,
redken,color extend magnetics,n,n,300,1,12.8,1,0.0426666666666667,https://www.amazon.co.uk/dp/B00EZ3QRVY,
redken,color extend magnetics,n,n,300,1,14.41,1,0.0480333333333333,https://www.amazon.co.uk/dp/B08Y1F7G31,
redken,color extend magnetics,n,n,1000,1,33.95,1,0.03395,https://www.amazon.co.uk/dp/B009QZCA76,
maui moisture,color protection,n,n,,,,1,,https://uk.mauimoisture.com/shop/color-protect/shampoo-7/,
biolage,colorlast,y,?,,,,1,,,
suave,colour,?,y,,,,1,,,
tresemme,colour,y,y,,,,1,,,
redken,colour blondage,y,n,,,,1,,,
plantur 39,colour brown,y,?,,,,1,,,
dove,colour care,y,?,,,,1,,,
good gracious,colour care,y,?,,,,1,,,
bedhead,colour goddess,y,?,,,,1,,,
aussie,colour mate,y,?,,,,1,,,
head & shoulders supreme,colour protect,y,?,,,,1,,,
l'oreal paris elvive,colour protect,y,n,,,,1,,,
my hair matters,colour protect,y,n,,,,1,,,
pantene pro-v,colour protect,y,?,,,,1,,,
l'oreal paris elvive,colour protect purple,y,?,,,,1,,,
john frieda,colour protecting,y,n,,,,1,,,
tresemme,colour revitalise,y,n,,,,1,,,
plantur 39,colour silver,y,?,,,,1,,,
just for men,control gx,y,?,,,,1,,,
phil smith,cool silver,y,?,,,,1,,,
ors,creamy aloe,y,y,,,,1,,,
tresemme,curl,?,y,,,,1,,,
happy naturals,curl defining,n,n,300,1,6,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/happy-naturals-curl-defining-shampoo-300ml,
maui moisture,curl quench & coconut,n,n,385,1,5.99,1,0.0155584415584416,https://www.amazon.co.uk/dp/B07CVCTM3D,
maui moisture,curl quench & coconut,n,n,385,1,8.5,1,0.0220779220779221,https://groceries.morrisons.com/products/maui-moisture-coconut-oil-shampoo-559093011,
maui moisture,curl quench & coconut,n,n,385,1,9,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/maui-moisture-curl-quench-coconut-oil-shampoo-385ml,
phil smith,curly locks,y,?,,,,1,,,
dove,daily,y,n,,,,1,,,
suave,daily,?,y,,,,1,,,
dove,daily care,y,y,,,,1,,,
dove,daily moisture,y,n,,,,1,,,
dove,daily moisture 2 in 1,y,n,,,,1,,,
dove,daily moisture light,y,n,,,,1,,,
aveeno,daily moisture oat milk,n,n,354,4,22.762,1,0.0160748587570621,https://www.amazon.co.uk/dp/B08W6C4YSG,
aveeno,daily moisture oat milk,n,n,354,1,9,1,0,https://www.tesco.com/groceries/en-GB/products/309454894,
aveeno,daily moisture oat milk,n,n,354,1,9,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/aveeno-daily-moisture-oat-milk-blend-shampoo-354ml,
aveeno,daily moisture oat milk,n,n,300,1,5.08,0.95,0.0160866666666667,https://www.amazon.co.uk/dp/B0BQTDD9RF,
aveeno,daily moisture oat milk,n,n,300,2,10.16,1,0.0169333333333333,https://www.amazon.co.uk/dp/B0DJMRD9JY,
head & shoulders,daily protect,y,?,,,,1,,,
suave,damage,?,y,,,,1,,,
tresemme pro pure,damage recovery,n,n,380,1,4.5,1,0.0118421052631579,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/tresemme-propure-damage-recovery-shampoo-380ml,https://groceries.morrisons.com/products/tresemme-pro-pure-damage-recovery-shampoo-576467011
aveda,damage remedy,n,n,250,1,25.5,1,0.102,https://www.amazon.co.uk/dp/B003JKF8PK,
fudge professional,damage rewind,n,n,250,1,12.46,1,0.04984,https://www.amazon.co.uk/dp/B07GX3ZBCX,
alpecin,dandruff killer,y,y,,,,1,,,
herbal essences,dazzling shine,y,n,,,,1,,,
pantene pro-v hair biology,de-frizz & illuminate,y,?,,,,1,,,
aussie,deeep moisture,y,?,,,,1,,,
head & shoulders,deep hydration,y,?,,,,1,,,
aussie sos,deep repair,y,n,,,,1,,,
herbal essences,deep repair manuka,y,?,,,,1,,,
garnier ultimate blends,delicate oat,y,n,,,,1,,,
kerastase paris,densifique bain,y,n,,,,1,,,
viviscal,densifying,y,n,250,1,8.49,1,0.03396,https://www.amazon.co.uk/dp/B01CCK1B1C,
john frieda,detox & repair,y,n,,,,1,,,
noughty,detox dynamo,n,n,250,1,6.77,1,0.02708,https://www.amazon.co.uk/dp/B0746NGT3D,
noughty,detox dynamo,n,n,250,1,6.99,1,0.02796,https://www.amazon.co.uk/dp/B0746NGT3D,
alpecin,double effect,y,?,,,,1,,,
john frieda frizz ease,dream curls,n,n,250,1,4.65,1,0.0186,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/john-frieda-frizz-ease-curl-around-shampoo-250ml,
l'oreal paris elvive,dream lengths,y,n,,,,1,,,
e45,dry scalp,y,n,,,,1,,,
axe,dual,?,y,,,,1,,,
vatika multivitamin,egg protein,y,?,,,,1,,,
alberto balsam,energise,y,?,,,,1,,,
charles worthington colour plex,enhancing blonde,n,n,250,1,8,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/charles-worthington-london-colour-plex-enhancing-blonde-shampoo-250ml,
charles worthington colour plex,enhancing brunette,n,n,250,1,8,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/charles-worthington-colour-plex-enhancing-brunette-shampoo-250ml,
tesco,essentials,y,n,,,,1,,,
charles worthington,everyday gentle,n,n,250,1,6,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/charles-worthington-london-everyday-gentle-micellar-shampoo-250ml,
happy naturals,everyday hydration,n,n,300,1,6,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/happy-naturals-everyday-hydration-shampoo-300ml,
alberto balsam,exotic mango,y,n,,,,1,,,
tesco,extracts apple,y,n,,,,1,,,
tesco,extracts blueberry,y,n,,,,1,,,
tesco,extracts coconut,y,n,,,,1,,,
tesco,extracts raspberry,y,n,,,,1,,,
tesco,extracts tropical,y,n,,,,1,,,
ogx,fade defying & orchid,n,n,385,1,7,1,0,https://groceries.morrisons.com/products/ogx-fade-defying-orchid-oil-shampoo-411036011,
ogx,fade defying & orchid,n,n,385,1,5,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/ogx-fade-defying--orchid-oil-shampoo-385ml-7952176-p,
ogx,fade defying & orchid,n,n,385,1,7,1,0,https://www.tesco.com/groceries/en-GB/products/297843728,
l'oreal paris elvive,fibrology,y,n,,,,1,,,
john frieda frizz ease,flawlessly straight,y,?,,,,1,,,
beauty kitchen,fragrance free,n,n,300,1,10,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/beauty-kitchen-the-sustainables-everyday-gentle-organic-shampoo-300ml,
dove,fresh,?,y,,,,1,,,
aveeno,fresh greens blend,n,n,354,1,9,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/aveeno-volumising-fresh-greens-blend-shampoo-354ml,
aveeno,fresh greens blend,n,n,354,1,7.97,0.95,0.021388418079096,https://www.amazon.co.uk/dp/B08W69RQWG,
aveeno,fresh greens blend,n,n,354,2,21.54,1,0.0304237288135593,https://www.amazon.co.uk/dp/B0CQG8K4HH,
nexxus,frizz,?,y,,,,1,,,
redken,frizz dismiss,n,n,300,1,13.91,1,0.0463666666666667,https://www.amazon.co.uk/dp/B08Y17DNBK,
pantene pro-v miracles,frizz no more,y,?,,,,1,,,
ogx,frosted,?,y,,,,1,,,
pantene pro-v hair biology,full & vibrant,y,?,,,,1,,,
wella,fusion,n,n,250,1,12.8,1,0.0512,https://www.lookfantastic.com/11443403.html,
wella,fusion,n,n,250,1,13.67,1,0.05468,https://www.amazon.co.uk/dp/B09PW3RN74,
wella,fusion,n,n,1000,1,45.95,1,0.04595,https://www.amazon.co.uk/dp/B072JCN7J3,
kerastase paris,genesis,y,?,,,,1,,,
Monday,gentle,n,n,350,1,5,1,0,https://www.tesco.com/groceries/en-GB/products/309752380,
simple,gentle cleansing,y,n,,,,1,,,
ayluna,ginger & licorice root,y,?,,,,1,,,
smith england,gloss shine expert,n,n,250,1,5,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/smith-england-gloss-shine-expert-shampoo-250ml-7952268-p,
l'oreal paris,glycerol nutrifier,y,n,,,,1,,,
john frieda,go blonder,y,?,,,,1,,,
axe,gold,?,y,,,,1,,,
faith in nature,grapefruit & orange,y,n,,,,1,,,
cantu,grapeseed oil,n,n,400,1,7.99,1,0.019975,https://www.savers.co.uk/p/807696,
watermans,grow me,n,n,250,1,13.95,1,0.0558,https://www.amazon.co.uk/dp/B00Q59B4UK,
charles worthington,grow strong,y,?,,,,1,,,
pantene pro-v miracles,grow strong bamboo,y,?,,,,1,,,
smith england,guardian colour shield,n,n,250,1,5,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/smith-england-guardian-colour-shield-shampoo-250ml-7952288-p,
hermz,h+p,n,n,300,1,13.99,1,0.0466333333333333,https://www.amazon.co.uk/dp/B08PVW3LLR,
head & shoulders men,hair booster,y,?,,,,1,,,
garnier ultimate blends,hair food aloe vera,y,?,,,,1,,,
garnier ultimate blends,hair food banana,y,?,,,,1,,,
garnier ultimate blends,hair food coconut,y,?,,,,1,,,
garnier ultimate blends,hair food papaya,y,?,,,,1,,,
garnier ultimate blends,hair food watermelon,y,?,,,,1,,,
kms,head remedy deep,y,n,,,,1,,,
hermz,healpsorin,n,n,500,1,20.99,1,0.04198,https://www.amazon.co.uk/dp/B074DWRGLK,
herbal essences,hello hydration,y,n,,,,1,,,
herbal essences potent aloe,hemp,n,n,380,1,6,1,0,https://groceries.asda.com/product/1000194606901,
herbal essences potent aloe,hemp,n,n,380,1,6,1,0,https://groceries.morrisons.com/products/herbal-essences-bio-renew-potent-aloe-hemp-shampoo-504408011,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/herbal-bio-ren-sulfat-fr-hemp-sham-380ml
xhc,hemp,n,y,,,,1,,,
redken,high rise volume,y,n,,,,1,,,
john frieda,highlight activating,y,n,,,,1,,,
pro:voke,highlight boost,y,?,,,,1,,,
garnier ultimate blends,honey,y,n,,,,1,,,
label.m,honey & oat,y,y,,,,1,,,
love beauty & planet,hope & repair,y,?,,,,1,,,
alpecin,hybrid caffeine,y,n,,,,1,,,
alpecin,hybrid coffein,y,n,,,,1,,,
pantene pro-v miracles,hydra glow baobab,y,?,,,,1,,,
l'oreal paris elvive,hydra hyaluronic,y,?,,,,1,,,
head & shoulders dermaxpro,hydrate,y,?,,,,1,,,
pureology,hydrate,n,n,266,1,13.91,1,0.0522932330827068,https://www.amazon.co.uk/dp/B0891843GC,
pureology,hydrate,n,n,1000,1,33.26,1,0.03326,https://www.amazon.co.uk/dp/B088ZZYMK2,
john frieda,hydrate & recharge,y,?,,,,1,,,
aussie,hydrate miracle,y,n,,,,1,,,
timotei,hydrating,y,?,,,,1,,,
aaron wallace,hydrating hair & beard,n,n,250,1,8.6,1,0.0344,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/aaron-wallace-hydrating-hair-beard-shampoo-250ml-8088888-p-44,
moroccanoil,hydration,n,n,70,1,6.45,1,0.0921428571428572,https://www.amazon.co.uk/dp/B01BVV94VW,
herbal essences,ignite my colour,y,n,,,,1,,,
good gracious,intense repair,y,?,,,,1,,,
dove,intensive repair,y,n,,,,1,,,
green people,intensive repair,y,n,,,,1,,,
wella,invigo,y,?,,,,1,,,
head & shoulders deep cleanse,itch relief,y,?,,,,1,,,
head & shoulders,itchy scalp,y,?,,,,1,,,
billy,jealousy,?,y,,,,1,,,
alberto balsam,juicy green apple,y,n,,,,1,,,
gk hair,juvexin ph+,n,n,100,1,10.8,1,0.108,https://www.amazon.co.uk/dp/B01FL02HNQ,
suave,keratin,?,y,,,,1,,,
tresemme,keratin 7 day,y,y,,,,1,,,
tresemme,keratin marula,y,n,,,,1,,,
ogx,keratin oil,n,n,385,1,7,1,0,https://www.tesco.com/groceries/en-GB/products/281317530,
ogx,keratin oil,n,n,385,1,5,1,0,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/ogx-anti-breakage-keratin-oil-s-p-385ml-7735518-p-44,
ogx,keratin smoothing oil,n,n,385,1,7,1,0,https://groceries.morrisons.com/products/ogx-keratin-smoothing-shampoo-575440011,https://www.tesco.com/groceries/en-GB/products/311674803
vosene,kids 3 in 1,y,n,,,,1,,,
tesco,kids apple & melon,y,n,,,,1,,,
sainsburys,kids cherry 2 in 1,y,n,,,,1,,,
sainsburys,kids strawberry,y,n,,,,1,,,
tesco,kids strawberry 2 in 1,y,n,,,,1,,,
sainsburys,kids tropical 2 in 1,y,n,,,,1,,,
aussie sos,kiss of life,y,?,,,,1,,,
ogx,kukui oil,n,n,385,1,7,1,0,https://groceries.asda.com/product/910001803767,
ogx,kukui oil,n,n,385,1,7,1,0,https://www.tesco.com/groceries/en-GB/products/287319328,
tresemme,lamellar shine,y,?,,,,1,,,
l'oreal paris,lavendar,n,n,400,1,7.99,1,0.019975,https://www.amazon.co.uk/dp/B079ZM7NT9,
faith in nature,lavendar & geranium,y,?,,,,1,,,
redken extreme,length,y,n,,,,1,,,
pantene pro-v miracles,lift & volume,y,?,,,,1,,,
maui moisture,lightweight,n,n,,,,1,,https://uk.mauimoisture.com/shop/lightweight-hydration-hibiscus-water/shampoo-8/,
ogx,liquid pearl,n,n,385,1,8,1,0,https://groceries.morrisons.com/products/ogx-liquid-pearl-shampoo-559031011,
Schwarzkopf gliss,liquid silk,y,n,,,,1,,,
sainsburys,little ones baby,y,n,,,,1,,,
Schwarzkopf,live silver,y,?,,,,1,,,
herbal essences,love me longer,y,?,,,,1,,,
fudge professional,luminizer,n,n,1000,1,21.9,1,0.0219,https://www.amazon.co.uk/dp/B07GXVXKGD,
john frieda,luxurious volume,y,n,,,,1,,,
herbal essences potent aloe,mango,n,n,380,1,6,1,0,https://groceries.morrisons.com/products/herbal-essences-bio-renew-potent-aloe-mango-shampoo-503926011,
garnier ultimate blends,marvellous oils,y,?,,,,1,,,
vosene,medicated all hair,y,y,,,,1,,,
aussie,mega,y,?,,,,1,,,
aussie,mega instant,y,?,,,,1,,,
toni & guy,men deep clean,y,n,,,,1,,,
head & shoulders,menthol fresh,y,?,,,,1,,,
l'oreal professionnel,metal detox,n,n,300,1,13.66,1,0.0455333333333333,https://www.amazon.co.uk/dp/B07BCCRWVT,
l'oreal professionnel,metal detox,n,n,300,1,40,1,0,https://www.amazon.co.uk/dp/B09B49QCW1,
john frieda,midnight brunette,y,n,,,,1,,,
davines,minu,n,n,250,1,17.2,1,0.0688,https://www.amazon.co.uk/dp/B00OKME7S0,
aussie,miracle moist,y,?,,,,1,,,
john frieda frizz ease,miraculous recovery,y,?,,,,1,,,
ogx,mistletoe,?,y,,,,1,,,
kms,moist repair,y,?,,,,1,,,
bedhead,moisture,?,y,,,,1,,,
head & shoulders supreme,moisture,y,?,,,,1,,,
Monday,moisture,n,n,350,1,5,1,0,https://www.tesco.com/groceries/en-GB/products/309762955,https://groceries.asda.com/product/1000383119305
Monday,moisture,n,n,800,1,18.75,1,0.0234375,https://www.amazon.co.uk/dp/B0BCGC3L6S,
nature box,moisture,y,?,,,,1,,,
studio selection,moisture,?,y,,,,1,,,
philip kingsley,moisture balancing,y,n,,,,1,,,
mizani,moisture fusion,y,?,,,,1,,,
